fips,name,rural_raw_value,cropland_share_of_land,gcd_funding,pgma,moratorium,dist_km,land_score,permissive_score,infra_score,siting_risk,is_lit,is_peer
48301,Loving,1,0.00182925390264532,0,0,0,59.5748410624513,0.999085373048677,1,0.551149925015111,0.82960510620143,FALSE,FALSE
48303,Lubbock,0.1052057211,0.630194349331821,0,0,0,51.0050208292637,0.0720556956227002,1,0.600465429711392,0.3925073656436,FALSE,FALSE
48305,Lynn,1,0.766324350678858,0,0,0,59.8900491164074,0.616837824660571,1,0.54941539119338,0.640028797345538,FALSE,FALSE
48307,McCulloch,0.3595019659,0.0990183732438631,0,0,0,133.045006215917,0.341703315979306,1,0.264358256874256,0.383395354003711,FALSE,FALSE
48309,McLennan,0.2402188971,0.335605317830226,0,0,0,56.1878427906243,0.199909527444964,1,0.570137095925416,0.442828346320905,FALSE,FALSE
48311,McMullen,1,0.0112999611613801,0,0,0,121.67140545608,0.99435001941931,1,0.296201872756378,0.719306821069259,FALSE,FALSE
48313,Madison,1,0.116195505927488,0,0,0,48.9200418107011,0.941902247036256,1,0.613116435044164,0.827594910098369,FALSE,FALSE
48315,Marion,1,0.0660562862631738,0,0,0,207.582534403585,0.966971856868413,1,0.125452842996906,0.633476753299833,FALSE,FALSE
48317,Martin,1,0.460959778402544,1,0,0,68.7144961472033,0.769520110798728,0.5,0.503010134249503,0.448792864991858,FALSE,FALSE
48319,Mason,1,0.065601263309726,0,0,0,144.312596102133,0.967199368345137,1,0.236188288123834,0.680480563683635,FALSE,FALSE
48321,Matagorda,0.4673562267,0.208789807548161,0,0,0,129.868026983955,0.418566618385436,1,0.272891698898036,0.424981666336156,FALSE,FALSE
48323,Maverick,0.0657142364,0.0161601773140997,0,0,0,191.39934907658,0.0651832595438577,1,0.14749020815941,0.197297818727641,FALSE,FALSE
48325,Medina,0.8426144873,0.189404812086272,0,0,0,58.2441707261169,0.762816867985887,1,0.558532926339289,0.71600770619472,FALSE,FALSE
48327,Menard,1,0.0456021789259316,0,0,0,156.328244242749,0.977198910537034,1,0.209447442455513,0.674097109900087,FALSE,FALSE
48329,Midland,0.1372137214,0.117663324216536,0,0,0,48.2910039483026,0.129141210105977,1,0.616985325195844,0.427704753441723,FALSE,FALSE
48331,Milam,0.5711804153,0.205252309969756,2,0,0,0,0.512562365475095,0,1,0.285285469736165,TRUE,FALSE
48333,Mills,1,0.0899608731350257,0,0,0,101.119016273084,0.955019563432487,1,0.363785757569652,0.72849508431778,FALSE,FALSE
48335,Mitchell,0.3505005562,0.216571913121607,0,0,0,0,0.312546268196789,1,1,0.680501635496382,TRUE,FALSE
48337,Montague,0.7285750063,0.147661981272689,1,1,0,76.7844164147893,0.67478359183199,0.25,0.464012325213801,0.261968837235729,FALSE,FALSE
48339,Montgomery,0.2287623521,0.0276932131501877,0,0,0,49.9535800920093,0.225594769811278,1,0.606812276044772,0.471047897254875,FALSE,FALSE
48341,Moore,0.314589381,0.310383656366936,0,0,0,182.285467415227,0.265767679835504,1,0.16156387977018,0.302352127889164,FALSE,FALSE
48343,Morris,1,0.0668679461758234,0,0,0,171.605998635598,0.966566026912088,1,0.179773062689888,0.656278397781578,FALSE,FALSE
48345,Motley,1,0.128045414661728,0,0,0,51.4248896503055,0.935977292669136,1,0.597949547988399,0.818245318769093,FALSE,FALSE
48347,Nacogdoches,0.4782608696,0.0536236348302243,0,0,0,145.148063843066,0.465437826487492,1,0.234223231306768,0.431763122981157,FALSE,FALSE
48349,Navarro,0.5367132867,0.181982831282734,0,0,0,0,0.487876984949636,1,1,0.767120295421039,TRUE,FALSE
48351,Newton,1,0.00887117469106838,0,0,0,188.613599096763,0.995564412654466,1,0.151656680918049,0.658698468654211,FALSE,FALSE
48353,Nolan,0.2962410096,0.183638871752838,0,0,0,0,0.269040327215067,1,1,0.659008389039686,TRUE,FALSE
48355,Nueces,0.062770048,0.713896396883179,0,0,0,212.286468160798,0.0403643924503079,1,0.119688268156743,0.173263695978067,FALSE,FALSE
48357,Ochiltree,0.1621567649,0.453221169660675,0,0,0,194.397022858711,0.125410325571815,1,0.143134543333037,0.225207379573638,FALSE,FALSE
48359,Oldham,1,0.122743649791426,0,0,0,164.171552411889,0.938628175104287,1,0.193647550130463,0.648351469649032,FALSE,FALSE
48361,Orange,0.3606853127,0.0243887756093628,0,0,0,147.603597442008,0.356286976121483,1,0.228541840861346,0.375433502380967,FALSE,FALSE
48363,Palo Pinto,0.5037840121,0.102498003621489,0,0,0,113.878403745823,0.477965584351663,1,0.320208146299431,0.474362904710453,FALSE,FALSE
48365,Panola,0.7186430128,0.053232681797873,0,0,0,181.23167861575,0.699515365386676,1,0.163275424031589,0.517361322092613,FALSE,FALSE
48367,Parker,0.6434807249,0.131655687821656,1,1,0,79.7964132451011,0.601121776181656,0.25,0.450244670185942,0.219747705286314,FALSE,TRUE
